"","COGlet","ID","gene_name","gene_desc","gene_cat","COG.broad","Cog.cat","Nog.abbrev","Nog.new","source","DetailedCat"
"71874","Ph","phrog_69048","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71875","Ph","phrog_69049","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71876","Ph","phrog_69050","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71877","Ph","phrog_69051","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71878","Ph","phrog_69052","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71879","Ph","phrog_69053","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71880","Ph","phrog_69054","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71881","Ph","phrog_69055","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71882","Ph","phrog_69056","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71883","Ph","phrog_69057","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71884","Ph","phrog_69058","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71885","Ph","phrog_69059","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71886","Ph","phrog_69060","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71887","Ph","phrog_69061","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71888","Ph","phrog_69062","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71889","Ph","phrog_69063","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71890","Ph","phrog_69064","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71891","Ph","phrog_69065","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71892","Ph","phrog_69066","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71893","Ph","phrog_69067","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71894","Ph","phrog_69068","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71895","Ph","phrog_69069","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71896","Ph","phrog_69070","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71897","Ph","phrog_69071","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71898","Ph","phrog_69072","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71899","Ph","phrog_69073","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71900","Ph","phrog_69074","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71901","Ph","phrog_69075","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71902","Ph","phrog_69076","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71903","Ph","phrog_69077","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71904","Ph","phrog_69078","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71905","Ph","phrog_69079","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71906","Ph","phrog_69080","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71907","Ph","phrog_69081","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71908","Ph","phrog_69082","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71909","Ph","phrog_69083","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71910","Ph","phrog_69084","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71911","Ph","phrog_69085","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71912","Ph","phrog_69086","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71913","Ph","phrog_69087","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71914","Ph","phrog_69088","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71915","Ph","phrog_69089","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71916","Ph","phrog_69090","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71917","Ph","phrog_69091","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71918","Ph","phrog_69092","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71919","Ph","phrog_69093","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71920","Ph","phrog_69094","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71921","Ph","phrog_69095","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71922","Ph","phrog_69096","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71923","Ph","phrog_69097","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71924","Ph","phrog_69098","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71925","Ph","phrog_69099","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71926","Ph","phrog_69100","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71927","Ph","phrog_69101","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71928","Ph","phrog_69102","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71929","Ph","phrog_69103","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71930","Ph","phrog_69104","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71931","Ph","phrog_69105","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71932","Ph","phrog_69106","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71933","Ph","phrog_69107","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71934","Ph","phrog_69108","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71935","Ph","phrog_69109","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71936","Ph","phrog_69110","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71937","Ph","phrog_69111","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71938","Ph","phrog_69112","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71939","Ph","phrog_69113","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71940","Ph","phrog_69114","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71941","Ph","phrog_69115","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71942","Ph","phrog_69116","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71943","Ph","phrog_69117","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71944","Ph","phrog_69118","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71945","Ph","phrog_69119","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71946","Ph","phrog_69120","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71947","Ph","phrog_69121","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71948","Ph","phrog_69122","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71949","Ph","phrog_69123","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71950","Ph","phrog_69124","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71951","Ph","phrog_69125","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71952","Ph","phrog_69126","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71953","Ph","phrog_69127","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71954","Ph","phrog_69128","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71955","Ph","phrog_69129","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71956","Ph","phrog_69130","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71957","Ph","phrog_69131","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71958","Ph","phrog_69132","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71959","Ph","phrog_69133","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71960","Ph","phrog_69134","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71961","Ph","phrog_69135","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71962","Ph","phrog_69136","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71963","Ph","phrog_69137","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71964","Ph","phrog_69138","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71965","Ph","phrog_69139","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71966","Ph","phrog_69140","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71967","Ph","phrog_69141","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71968","Ph","phrog_69142","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71969","Ph","phrog_69143","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71970","Ph","phrog_69144","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71971","Ph","phrog_69145","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71972","Ph","phrog_69146","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71973","Ph","phrog_69147","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71974","Ph","phrog_69148","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71975","Ph","phrog_69149","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71976","Ph","phrog_69150","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71977","Ph","phrog_69151","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71978","Ph","phrog_69152","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71979","Ph","phrog_69153","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71980","Ph","phrog_69154","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71981","Ph","phrog_69155","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71982","Ph","phrog_69156","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71983","Ph","phrog_69157","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71984","Ph","phrog_69158","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71985","Ph","phrog_69159","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71986","Ph","phrog_69160","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71987","Ph","phrog_69161","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71988","Ph","phrog_69162","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71989","Ph","phrog_69163","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71990","Ph","phrog_69164","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71991","Ph","phrog_69165","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71992","Ph","phrog_69166","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71993","Ph","phrog_69167","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71994","Ph","phrog_69168","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71995","Ph","phrog_69169","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71996","Ph","phrog_69170","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71997","Ph","phrog_69171","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71998","Ph","phrog_69172","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"71999","Ph","phrog_69173","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72000","Ph","phrog_69174","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72001","Ph","phrog_69175","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72002","Ph","phrog_69176","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72003","Ph","phrog_69177","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72004","Ph","phrog_69178","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72005","Ph","phrog_69179","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72006","Ph","phrog_69180","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72007","Ph","phrog_69181","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72008","Ph","phrog_69182","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72009","Ph","phrog_69183","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72010","Ph","phrog_69184","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72011","Ph","phrog_69185","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72012","Ph","phrog_69186","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72013","Ph","phrog_69187","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72014","Ph","phrog_69188","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72015","Ph","phrog_69189","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72016","Ph","phrog_69190","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72017","Ph","phrog_69191","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72018","Ph","phrog_69192","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72019","Ph","phrog_69193","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72020","Ph","phrog_69194","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72021","Ph","phrog_69195","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72022","Ph","phrog_69196","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72023","Ph","phrog_69197","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72024","Ph","phrog_69198","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72025","Ph","phrog_69199","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72026","Ph","phrog_69200","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72027","Ph","phrog_69201","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72028","Ph","phrog_69202","major head and protease protein","major head and protease protein","head and packaging","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","head and packaging"
"72029","Ph","phrog_69203","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72030","Ph","phrog_69204","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72031","Ph","phrog_69205","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72032","Ph","phrog_69206","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72033","Ph","phrog_69207","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72034","Ph","phrog_69208","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72035","Ph","phrog_69209","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72036","Ph","phrog_69210","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72037","Ph","phrog_69211","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72038","Ph","phrog_69212","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72039","Ph","phrog_69213","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72040","Ph","phrog_69214","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72041","Ph","phrog_69215","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72042","Ph","phrog_69216","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72043","Ph","phrog_69217","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72044","Ph","phrog_69218","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72045","Ph","phrog_69219","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72046","Ph","phrog_69220","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72047","Ph","phrog_69221","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72048","Ph","phrog_69222","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72049","Ph","phrog_69223","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72050","Ph","phrog_69224","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72051","Ph","phrog_69225","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72052","Ph","phrog_69226","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72053","Ph","phrog_69227","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72054","Ph","phrog_69228","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72055","Ph","phrog_69229","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72056","Ph","phrog_69230","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72057","Ph","phrog_69231","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72058","Ph","phrog_69232","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72059","Ph","phrog_69233","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72060","Ph","phrog_69234","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72061","Ph","phrog_69235","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72062","Ph","phrog_69236","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72063","Ph","phrog_69237","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72064","Ph","phrog_69238","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72065","Ph","phrog_69239","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72066","Ph","phrog_69240","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72067","Ph","phrog_69241","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72068","Ph","phrog_69242","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72069","Ph","phrog_69243","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72070","Ph","phrog_69244","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72071","Ph","phrog_69245","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72072","Ph","phrog_69246","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72073","Ph","phrog_69247","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72074","Ph","phrog_69248","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72075","Ph","phrog_69249","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72076","Ph","phrog_69250","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72077","Ph","phrog_69251","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72078","Ph","phrog_69252","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72079","Ph","phrog_69253","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72080","Ph","phrog_69254","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72081","Ph","phrog_69255","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72082","Ph","phrog_69256","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72083","Ph","phrog_69257","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72084","Ph","phrog_69258","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72085","Ph","phrog_69259","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72086","Ph","phrog_69260","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72087","Ph","phrog_69261","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72088","Ph","phrog_69262","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72089","Ph","phrog_69263","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"72090","Ph","phrog_69264","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
