L1,L2,L3,ID,Function,EC,Gene
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K03737,Pyruvate-ferredoxin/flavodoxin oxidoreductase,1.2.7.1 1.2.7.-,"por, nifJ"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00174,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha,1.2.7.3 1.2.7.11,"korA, oorA, oforA"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00175,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta,1.2.7.3 1.2.7.11,"korB, oorB, oforB"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00016,L-lactate dehydrogenase,1.1.1.27,"LDH, ldh"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K01568,Pyruvate decarboxylase,4.1.1.1,"PDC, pdc"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K13951,Alcohol dehydrogenase 1/7,1.1.1.1,ADH1_7
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K13980,Alcohol dehydrogenase 4,1.1.1.1,ADH4
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00121,S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase,1.1.1.284 1.1.1.1,"frmA, ADH5, adhC"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K13952,Alcohol dehydrogenase 6,1.1.1.1,ADH6
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K04072,Acetaldehyde dehydrogenase / alcohol dehydrogenase,1.2.1.10 1.1.1.1,adhE
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K13953,"Alcohol dehydrogenase, propanol-preferring",1.1.1.1,adhP
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K13954,Alcohol dehydrogenase,1.1.1.1,yiaY
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K18857,Alcohol dehydrogenase class-P,1.1.1.1,ADH1
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00001,Alcohol dehydrogenase,1.1.1.1,"E1.1.1.1, adh"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00002,Alcohol dehydrogenase (NADP+),1.1.1.2,"AKR1A1, adh"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K12957,Alcohol/geraniol dehydrogenase (NADP+),1.1.1.2 1.1.1.183,ahr
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K13979,Alcohol dehydrogenase (NADP+),1.1.1.2,yahK
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K14028,Methanol dehydrogenase (cytochrome c) subunit 1,1.1.2.7,"mdh1, mxaF"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K14029,Methanol dehydrogenase (cytochrome c) subunit 2,1.1.2.7,"mdh2, mxaI"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00114,Alcohol dehydrogenase (cytochrome c),1.1.2.8,exaA
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K04022,Alcohol dehydrogenase,,eutG
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K22473,"Alcohol dehydrogenase (quinone), dehydrogenase subunit",1.1.5.5,adhA
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K22474,"Alcohol dehydrogenase (quinone), cytochrome c subunit",1.1.5.5,adhB
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00128,Aldehyde dehydrogenase (NAD+),1.2.1.3,ALDH
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K14085,Aldehyde dehydrogenase family 7 member A1,1.2.1.31 1.2.1.8 1.2.1.3,ALDH7A1
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00149,Aldehyde dehydrogenase family 9 member A1,1.2.1.47 1.2.1.3,ALDH9A1
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00129,Aldehyde dehydrogenase (NAD(P)+),1.2.1.5,ALDH3
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00138,Aldehyde dehydrogenase,1.2.1.-,aldB
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K01895,Acetyl-CoA synthetase,6.2.1.1,"ACSS1_2, acs"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K01913,Acetate/butyrate---CoA ligase,6.2.1.1 6.2.1.2,"AAE7, ACN1"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K01905,Acetate---CoA ligase (ADP-forming) subunit alpha,6.2.1.13,acdA
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K22224,Acetate---CoA ligase (ADP-forming) subunit beta,6.2.1.13,acdB
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K24012,Acetate---CoA ligase (ADP-forming),6.2.1.13,acdAB
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K01785,Aldose 1-epimerase,5.1.3.3,"galM, GALM"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K01085,Glucose-1-phosphatase,3.1.3.10,agp
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K20866,Glucose-1-phosphatase,3.1.3.10,yihX
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K01835,Phosphoglucomutase,5.4.2.2,pgm
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K15778,Phosphomannomutase / phosphoglucomutase,5.4.2.8 5.4.2.2,pmm-pgm
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K15779,Phosphoglucomutase / phosphopentomutase,5.4.2.2 5.4.2.7,PGM2
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K01084,Glucose-6-phosphatase,3.1.3.9,G6PC
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00886,Polyphosphate glucokinase,2.7.1.63,ppgK
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K08074,ADP-dependent glucokinase,2.7.1.147,ADPGK
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K01792,Glucose-6-phosphate 1-epimerase,5.1.3.15,E5.1.3.15
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K01837,Bisphosphoglycerate/phosphoglycerate mutase,5.4.2.4 5.4.2.11,BPGM
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K03103,"Multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase",3.1.3.62 3.1.3.80,MINPP1
