"","gtdb_f","f_spor","ID","GTDB_tax"
"66","Acidaminococcaceae",FALSE,"Ma_2019_SRR341692_NODE_283_length_56956_cov_3.546089","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"67","Acidaminococcaceae",FALSE,"SRR7892448_NODE_8_length_48122_cov_118.756090","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"68","Acidaminococcaceae",FALSE,"Ma_2019_SRR341715_NODE_2821_length_7957_cov_3.047709","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"69","Acidaminococcaceae",FALSE,"Han_2018_ERR1398255_NODE_283_length_53424_cov_18.135153","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"70","Acidaminococcaceae",FALSE,"uvig_296047","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/NA"
"71","Acidaminococcaceae",FALSE,"uvig_320413","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini"
"72","Acidaminococcaceae",FALSE,"Moreno-Gallego_2019_ERR2867978_NODE_41_length_5024_cov_65.983095","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"73","Acidaminococcaceae",FALSE,"uvig_178241","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini,Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini"
"74","Acidaminococcaceae",FALSE,"Ma_2019_SRR341659_NODE_76_length_88632_cov_4.564752","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"75","Acidaminococcaceae",FALSE,"uvig_383941","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini,Firmicutes/Negativicutes/Veillonellales/Megasphaeraceae/Caecibacter/Caecibacter massiliensis"
"76","Acidaminococcaceae",FALSE,"uvig_229052","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/NA"
"77","Acidaminococcaceae",FALSE,"Ma_2019_SRR1778452_NODE_5187_length_5173_cov_3.565455","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
