"","gene_name","Temperate","Lytic","a","c","b","d","p_two_sided","OR","OR_cc","plot_OR","direction","prevalence","dataset","COGlet","fisher_test"
"29","glnM",2,0,2,0,40,238,0.0220430107526882,Inf,29.4444444444444,4.87992354800825,"Temperate",2,"INPHARED","E","NonSporBacil_Lifestyle"
"30","glnQ",2,0,2,0,40,238,0.0220430107526882,Inf,29.4444444444444,4.87992354800825,"Temperate",2,"INPHARED","E","NonSporBacil_Lifestyle"
"31","gpmI",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","G","NonSporBacil_Lifestyle"
"32","hepT",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","H","NonSporBacil_Lifestyle"
"33","hspA",1,0,1,0,508,43,1,Inf,0.256637168141593,1.96219796728762,"Temperate",1,"UHGV","O","NonSporBacil_Lifestyle"
"34","htrC",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","O","NonSporBacil_Lifestyle"
"35","lgt",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","M","NonSporBacil_Lifestyle"
"36","lytA",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","Ph","NonSporBacil_Lifestyle"
"37","mbl",1,0,1,0,508,43,1,Inf,0.256637168141593,1.96219796728762,"Temperate",1,"UHGV","S","NonSporBacil_Lifestyle"
"38","mmgA",2,0,2,0,507,43,1,Inf,0.428571428571429,1.22239242133645,"Temperate",2,"UHGV","I","NonSporBacil_Lifestyle"
"39","mmgD",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","C","NonSporBacil_Lifestyle"
"40","mrpA",2,0,2,0,40,238,0.0220430107526882,Inf,29.4444444444444,4.87992354800825,"Temperate",2,"INPHARED","C","NonSporBacil_Lifestyle"
"41","murB",2,0,2,0,40,238,0.0220430107526882,Inf,29.4444444444444,4.87992354800825,"Temperate",2,"INPHARED","M","NonSporBacil_Lifestyle"
"42","nadE",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","H","NonSporBacil_Lifestyle"
"43","nrnB",0,1,0,1,42,237,1,0,1.86274509803922,0.897430266359452,"Lytic",1,"INPHARED","S","NonSporBacil_Lifestyle"
"44","nrnB",3,0,3,0,506,43,1,Inf,0.601184600197433,0.734120040894806,"Temperate",3,"UHGV","S","NonSporBacil_Lifestyle"
"45","obg",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","S","NonSporBacil_Lifestyle"
"46","oppD",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","S","NonSporBacil_Lifestyle"
"47","paiA",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","J","NonSporBacil_Lifestyle"
"48","parA",2,0,2,0,40,238,0.0220430107526882,Inf,29.4444444444444,4.87992354800825,"Temperate",2,"INPHARED","Ph","NonSporBacil_Lifestyle"
"49","parA",95,10,95,10,414,33,0.425187455402074,0.757246376811594,0.735079556551209,0.44402769578099,"Lytic",105,"UHGV","Ph","NonSporBacil_Lifestyle"
"50","parB",99,2,99,2,410,41,0.0127931141701885,4.95,4.02362971985384,2.00849754522541,"Temperate",101,"UHGV","D","NonSporBacil_Lifestyle"
"51","pbpG",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","M","NonSporBacil_Lifestyle"
"52","pghL",11,28,11,28,31,210,0.0262167279324589,2.66129032258065,2.69646338067391,1.43106844145875,"Temperate",39,"INPHARED","Ph","NonSporBacil_Lifestyle"
"53","pghL",6,2,6,2,503,41,0.122963853063308,0.244532803180915,0.214299900695134,2.22229691340613,"Lytic",8,"UHGV","Ph","NonSporBacil_Lifestyle"
"54","phoR",4,0,4,0,38,238,0.000446550876219951,Inf,55.7532467532468,5.80098391675292,"Temperate",4,"INPHARED","T","NonSporBacil_Lifestyle"
"55","phoR",1,0,1,0,508,43,1,Inf,0.256637168141593,1.96219796728762,"Temperate",1,"UHGV","T","NonSporBacil_Lifestyle"
"56","prpE",0,28,0,28,42,210,0.0115999269748377,0,0.0868937048503612,3.52460452723605,"Lytic",28,"INPHARED","T","NonSporBacil_Lifestyle"
"57","pxpB",2,0,2,0,40,238,0.0220430107526882,Inf,29.4444444444444,4.87992354800825,"Temperate",2,"INPHARED","E","NonSporBacil_Lifestyle"
"58","pxpC",2,0,2,0,40,238,0.0220430107526882,Inf,29.4444444444444,4.87992354800825,"Temperate",2,"INPHARED","E","NonSporBacil_Lifestyle"
"59","ricF",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","T","NonSporBacil_Lifestyle"
"60","rpoD",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","Ph","NonSporBacil_Lifestyle"
"61","sigE",4,0,4,0,505,43,1,Inf,0.774480712166172,0.368698784611974,"Temperate",4,"UHGV","Ph","NonSporBacil_Lifestyle"
"62","sigF",4,0,4,0,505,43,1,Inf,0.774480712166172,0.368698784611974,"Temperate",4,"UHGV","Ph","NonSporBacil_Lifestyle"
"63","sigG",6,0,6,0,503,43,1,Inf,1.12313803376365,0.167535245983036,"Temperate",6,"UHGV","Ph","NonSporBacil_Lifestyle"
"64","sigH",18,2,18,2,491,41,0.66354325489008,0.75152749490835,0.624821973550356,0.678482904252068,"Lytic",20,"UHGV","Ph","NonSporBacil_Lifestyle"
"65","sigK",4,3,4,3,505,40,0.0123842111732044,0.105610561056106,0.103009749894023,3.27914719963368,"Lytic",7,"UHGV","Ph","NonSporBacil_Lifestyle"
"66","sleB",3,0,3,0,506,43,1,Inf,0.601184600197433,0.734120040894806,"Temperate",3,"UHGV","Ph","NonSporBacil_Lifestyle"
"67","smpB",3,0,3,0,39,238,0.00317165622340837,Inf,42.2658227848101,5.40141962988601,"Temperate",3,"INPHARED","O","NonSporBacil_Lifestyle"
"68","sodF",1,0,1,0,41,238,0.15,Inf,17.2409638554217,4.10776852537974,"Temperate",1,"INPHARED","P","NonSporBacil_Lifestyle"
"69","soj",12,0,12,0,30,238,2.89682404000236e-11,Inf,195.491803278689,7.61096430821735,"Temperate",12,"INPHARED","Ph","NonSporBacil_Lifestyle"
"70","soj",27,0,27,0,482,43,0.256000845887304,Inf,4.95854922279793,2.30991807721795,"Temperate",27,"UHGV","Ph","NonSporBacil_Lifestyle"
"71","spo0A",5,2,5,2,504,41,0.0969086218746163,0.203373015873016,0.180971258671952,2.4661675040095,"Lytic",7,"UHGV","S","NonSporBacil_Lifestyle"
"72","spoIID",1,0,1,0,508,43,1,Inf,0.256637168141593,1.96219796728762,"Temperate",1,"UHGV","Ph","NonSporBacil_Lifestyle"
